player,runs,balls,maiden,4s,6s,sr,match,team
Richie Berrington (c),37,27,39,3,1,137.03,Scotland vs Ireland,Scotland
Michael Leask,17,13,19,2,0,130.76,Scotland vs Ireland,Scotland
Calum MacLeod,0,3,6,0,0,0.00,Scotland vs Ireland,Scotland
Paul Stirling,8,10,22,1,0,80.00,Scotland vs Ireland,Ireland
Andy Balbirnie (c),14,12,15,2,0,116.66,Scotland vs Ireland,Ireland
Lorcan Tucker †,20,17,28,2,0,117.64,Scotland vs Ireland,Ireland
Harry Tector,14,16,23,1,0,87.50,Scotland vs Ireland,Ireland
Curtis Campher,72,32,48,7,2,225.00,Scotland vs Ireland,Ireland
George Dockrell,39,27,42,4,1,144.44,Scotland vs Ireland,Ireland
Kyle Mayers,13,12,17,2,0,108.33,West Indies vs Zimbabwe,West Indies
Johnson Charles,45,36,60,3,2,125.00,West Indies vs Zimbabwe,West Indies
Evin Lewis,15,18,28,1,0,83.33,West Indies vs Zimbabwe,West Indies
Nicholas Pooran (c)†,7,9,10,0,0,77.77,West Indies vs Zimbabwe,West Indies
Rovman Powell,28,21,40,1,2,133.33,West Indies vs Zimbabwe,West Indies
Shamarh Brooks,0,3,5,0,0,0.00,West Indies vs Zimbabwe,West Indies
Jason Holder,4,3,3,0,0,133.33,West Indies vs Zimbabwe,West Indies
Akeal Hosein,23,18,31,2,0,127.77,West Indies vs Zimbabwe,West Indies
Odean Smith,1,2,2,0,0,50.00,West Indies vs Zimbabwe,West Indies
Wessly Madhevere,27,19,37,3,1,142.10,West Indies vs Zimbabwe,Zimbabwe
Regis Chakabva (c)†,13,9,14,3,0,144.44,West Indies vs Zimbabwe,Zimbabwe
Tony Munyonga,2,6,12,0,0,33.33,West Indies vs Zimbabwe,Zimbabwe
Sean Williams,1,2,4,0,0,50.00,West Indies vs Zimbabwe,Zimbabwe
Sikandar Raza,14,8,12,1,1,175.00,West Indies vs Zimbabwe,Zimbabwe
Milton Shumba,2,9,20,0,0,22.22,West Indies vs Zimbabwe,Zimbabwe
Ryan Burl,17,19,30,3,0,89.47,West Indies vs Zimbabwe,Zimbabwe
Luke Jongwe,29,22,31,3,1,131.81,West Indies vs Zimbabwe,Zimbabwe
Richard Ngarava,2,6,11,0,0,33.33,West Indies vs Zimbabwe,Zimbabwe
Tendai Chatara,3,8,12,0,0,37.50,West Indies vs Zimbabwe,Zimbabwe
Blessing Muzarabani,1,4,4,0,0,25.00,West Indies vs Zimbabwe,Zimbabwe
Pathum Nissanka,14,21,25,0,1,66.66,Sri Lanka vs Netherlands,Sri Lanka
Kusal Mendis †,79,44,94,5,5,179.54,Sri Lanka vs Netherlands,Sri Lanka
Dhananjaya de Silva,0,1,2,0,0,0.00,Sri Lanka vs Netherlands,Sri Lanka
Charith Asalanka,31,30,38,3,0,103.33,Sri Lanka vs Netherlands,Sri Lanka
Bhanuka Rajapaksa,19,13,18,2,0,146.15,Sri Lanka vs Netherlands,Sri Lanka
Dasun Shanaka (c),8,5,9,0,1,160.00,Sri Lanka vs Netherlands,Sri Lanka
Wanindu Hasaranga de Silva,5,4,8,0,0,125.00,Sri Lanka vs Netherlands,Sri Lanka
Chamika Karunaratne,2,2,4,0,0,100.00,Sri Lanka vs Netherlands,Sri Lanka
Max O'Dowd,71,53,99,6,3,133.96,Sri Lanka vs Netherlands,Netherlands
Vikramjit Singh,7,14,18,0,0,50.00,Sri Lanka vs Netherlands,Netherlands
Bas de Leede,14,10,12,1,1,140.00,Sri Lanka vs Netherlands,Netherlands
Colin Ackermann,0,1,4,0,0,0.00,Sri Lanka vs Netherlands,Netherlands
Tom Cooper,16,19,23,2,0,84.21,Sri Lanka vs Netherlands,Netherlands
Scott Edwards (c)†,21,15,16,3,0,140.00,Sri Lanka vs Netherlands,Netherlands
Tim Pringle,2,4,8,0,0,50.00,Sri Lanka vs Netherlands,Netherlands
Timm van der Gugten,0,1,2,0,0,0.00,Sri Lanka vs Netherlands,Netherlands
Fred Klaassen,3,3,5,0,0,100.00,Sri Lanka vs Netherlands,Netherlands
Paul van Meekeren,0,0,4,0,0,-,Sri Lanka vs Netherlands,Netherlands
Roelof van der Merwe,0,1,14,0,0,0.00,Sri Lanka vs Netherlands,Netherlands
Muhammad Waseem,50,41,66,1,3,121.95,United Arab Emirates vs Namibia,United Arab Emirates
Vriitya Aravind †,21,32,34,2,0,65.62,United Arab Emirates vs Namibia,United Arab Emirates
Chundangapoyil Rizwan (c),43,29,55,3,1,148.27,United Arab Emirates vs Namibia,United Arab Emirates
Alishan Sharafu,4,4,10,0,0,100.00,United Arab Emirates vs Namibia,United Arab Emirates
Basil Hameed,25,14,13,2,2,178.57,United Arab Emirates vs Namibia,United Arab Emirates
Michael van Lingen,10,8,14,1,0,125.00,United Arab Emirates vs Namibia,Namibia
Stephan Baard,4,6,9,1,0,66.66,United Arab Emirates vs Namibia,Namibia
Jan Nicol Loftie-Eaton,1,6,17,0,0,16.66,United Arab Emirates vs Namibia,Namibia
Gerhard Erasmus (c),16,18,23,2,0,88.88,United Arab Emirates vs Namibia,Namibia
Jan Frylinck,14,17,33,1,0,82.35,United Arab Emirates vs Namibia,Namibia
JJ Smit,3,3,3,0,0,100.00,United Arab Emirates vs Namibia,Namibia
David Wiese,55,36,65,3,3,152.77,United Arab Emirates vs Namibia,Namibia
Zane Green †,2,3,3,0,0,66.66,United Arab Emirates vs Namibia,Namibia
Ruben Trumpelmann,25,24,43,1,1,104.16,United Arab Emirates vs Namibia,Namibia
Bernard Scholtz,1,1,-,0,0,100.00,United Arab Emirates vs Namibia,Namibia
Kyle Mayers,1,5,12,0,0,20.00,West Indies vs Ireland,West Indies
Johnson Charles,24,18,22,3,1,133.33,West Indies vs Ireland,West Indies
Evin Lewis,13,18,42,0,0,72.22,West Indies vs Ireland,West Indies
Brandon King,62,48,80,6,1,129.16,West Indies vs Ireland,West Indies
Nicholas Pooran (c)†,13,11,16,0,1,118.18,West Indies vs Ireland,West Indies
Rovman Powell,6,8,12,1,0,75.00,West Indies vs Ireland,West Indies
Odean Smith,19,12,18,1,2,158.33,West Indies vs Ireland,West Indies
Paul Stirling,66,48,79,6,2,137.50,West Indies vs Ireland,Ireland
Andy Balbirnie (c),37,23,34,3,3,160.86,West Indies vs Ireland,Ireland
Lorcan Tucker †,45,35,46,2,2,128.57,West Indies vs Ireland,Ireland
George Munsey,54,51,74,7,0,105.88,Scotland vs Zimbabwe,Scotland
Michael Jones,4,5,6,1,0,80.00,Scotland vs Zimbabwe,Scotland
Matthew Cross †,1,7,15,0,0,14.28,Scotland vs Zimbabwe,Scotland
Richie Berrington (c),13,15,24,0,0,86.66,Scotland vs Zimbabwe,Scotland
Calum MacLeod,25,26,46,1,0,96.15,Scotland vs Zimbabwe,Scotland
Michael Leask,12,9,11,2,0,133.33,Scotland vs Zimbabwe,Scotland
Chris Greaves,3,7,10,0,0,42.85,Scotland vs Zimbabwe,Scotland
Josh Davey,4,3,3,0,0,133.33,Scotland vs Zimbabwe,Scotland
Regis Chakabva †,4,3,3,1,0,133.33,Scotland vs Zimbabwe,Zimbabwe
Craig Ervine (c),58,54,79,6,0,107.40,Scotland vs Zimbabwe,Zimbabwe
Wessly Madhevere,0,5,8,0,0,0.00,Scotland vs Zimbabwe,Zimbabwe
Sean Williams,7,12,28,0,0,58.33,Scotland vs Zimbabwe,Zimbabwe
Sikandar Raza,40,23,34,3,2,173.91,Scotland vs Zimbabwe,Zimbabwe
Milton Shumba,11,11,16,0,0,100.00,Scotland vs Zimbabwe,Zimbabwe
Ryan Burl,9,5,7,1,0,180.00,Scotland vs Zimbabwe,Zimbabwe
Finn Allen,42,16,24,5,3,262.50,New Zealand vs Australia,New Zealand
Devon Conway †,92,58,106,7,2,158.62,New Zealand vs Australia,New Zealand
Kane Williamson (c),23,23,48,1,1,100.00,New Zealand vs Australia,New Zealand
Glenn Phillips,12,10,16,2,0,120.00,New Zealand vs Australia,New Zealand
James Neesham,26,13,19,0,2,200.00,New Zealand vs Australia,New Zealand
David Warner,5,6,7,1,0,83.33,New Zealand vs Australia,Australia
Aaron Finch (c),13,11,20,1,1,118.18,New Zealand vs Australia,Australia
Mitchell Marsh,16,12,17,2,1,133.33,New Zealand vs Australia,Australia
Glenn Maxwell,28,20,47,3,1,140.00,New Zealand vs Australia,Australia
Marcus Stoinis,7,14,16,0,0,50.00,New Zealand vs Australia,Australia
Tim David,11,8,12,0,1,137.50,New Zealand vs Australia,Australia
Matthew Wade †,2,4,10,0,0,50.00,New Zealand vs Australia,Australia
Pat Cummins,21,18,27,2,1,116.66,New Zealand vs Australia,Australia
Mitchell Starc,4,7,13,0,0,57.14,New Zealand vs Australia,Australia
Adam Zampa,0,2,3,0,0,0.00,New Zealand vs Australia,Australia
Josh Hazlewood,1,1,6,0,0,100.00,New Zealand vs Australia,Australia
Hazratullah Zazai,7,17,31,1,0,41.17,Afghanistan vs England,Afghanistan
Rahmanullah Gurbaz †,10,9,13,0,1,111.11,Afghanistan vs England,Afghanistan
Ibrahim Zadran,32,32,41,3,1,100.00,Afghanistan vs England,Afghanistan
Usman Ghani,30,30,60,3,0,100.00,Afghanistan vs England,Afghanistan
Najibullah Zadran,13,11,15,0,1,118.18,Afghanistan vs England,Afghanistan
Mohammad Nabi (c),3,5,7,0,0,60.00,Afghanistan vs England,Afghanistan
Azmatullah Omarzai,8,6,11,1,0,133.33,Afghanistan vs England,Afghanistan
Rashid Khan,0,1,2,0,0,0.00,Afghanistan vs England,Afghanistan
Mujeeb Ur Rahman,0,1,3,0,0,0.00,Afghanistan vs England,Afghanistan
Fareed Ahmad,2,4,7,0,0,50.00,Afghanistan vs England,Afghanistan
Fazalhaq Farooqi,0,2,3,0,0,0.00,Afghanistan vs England,Afghanistan
Jos Buttler (c)†,18,18,25,3,0,100.00,Afghanistan vs England,England
Alex Hales,19,20,41,0,1,95.00,Afghanistan vs England,England
Dawid Malan,18,30,40,0,0,60.00,Afghanistan vs England,England
Ben Stokes,2,4,11,0,0,50.00,Afghanistan vs England,England
Liam Livingstone,29,21,34,3,0,138.09,Afghanistan vs England,England
Harry Brook,7,6,9,0,0,116.66,Afghanistan vs England,England
Moeen Ali,8,10,13,0,0,80.00,Afghanistan vs England,England
Paul Stirling,34,25,45,4,1,136.00,Ireland vs Sri Lanka,Ireland
Andy Balbirnie (c),1,5,7,0,0,20.00,Ireland vs Sri Lanka,Ireland
Lorcan Tucker †,10,11,20,1,0,90.90,Ireland vs Sri Lanka,Ireland
Harry Tector,45,42,59,2,1,107.14,Ireland vs Sri Lanka,Ireland
Curtis Campher,2,4,6,0,0,50.00,Ireland vs Sri Lanka,Ireland
George Dockrell,14,16,25,0,0,87.50,Ireland vs Sri Lanka,Ireland
Gareth Delany,9,6,10,1,0,150.00,Ireland vs Sri Lanka,Ireland
Mark Adair,0,1,5,0,0,0.00,Ireland vs Sri Lanka,Ireland
Simi Singh,7,8,9,1,0,87.50,Ireland vs Sri Lanka,Ireland
Barry McCarthy,2,2,7,0,0,100.00,Ireland vs Sri Lanka,Ireland
Kusal Mendis †,68,43,68,5,3,158.13,Ireland vs Sri Lanka,Sri Lanka
Dhananjaya de Silva,31,25,35,2,1,124.00,Ireland vs Sri Lanka,Sri Lanka
Charith Asalanka,31,22,33,2,0,140.90,Ireland vs Sri Lanka,Sri Lanka
Mohammad Rizwan †,4,12,25,1,0,33.33,Pakistan vs India,Pakistan
Babar Azam (c),0,1,10,0,0,0.00,Pakistan vs India,Pakistan
Shan Masood,52,42,101,5,0,123.80,Pakistan vs India,Pakistan
Iftikhar Ahmed,51,34,43,2,4,150.00,Pakistan vs India,Pakistan
Shadab Khan,5,6,6,1,0,83.33,Pakistan vs India,Pakistan
Haider Ali,2,4,6,0,0,50.00,Pakistan vs India,Pakistan
Mohammad Nawaz,9,6,12,2,0,150.00,Pakistan vs India,Pakistan
Asif Ali,2,3,6,0,0,66.66,Pakistan vs India,Pakistan
Shaheen Shah Afridi,16,8,17,1,1,200.00,Pakistan vs India,Pakistan
Haris Rauf,6,4,3,0,1,150.00,Pakistan vs India,Pakistan
KL Rahul,4,8,13,0,0,50.00,Pakistan vs India,India
Rohit Sharma (c),4,7,20,0,0,57.14,Pakistan vs India,India
Virat Kohli,82,53,98,6,4,154.71,Pakistan vs India,India
Suryakumar Yadav,15,10,11,2,0,150.00,Pakistan vs India,India
Axar Patel,2,3,7,0,0,66.66,Pakistan vs India,India
Hardik Pandya,40,37,61,1,2,108.10,Pakistan vs India,India
Dinesh Karthik †,1,2,10,0,0,50.00,Pakistan vs India,India
Ravichandran Ashwin,1,1,2,0,0,100.00,Pakistan vs India,India
Najmul Hossain Shanto,25,20,31,4,0,125.00,Bangladesh vs Netherlands,Bangladesh
Soumya Sarkar,14,14,24,2,0,100.00,Bangladesh vs Netherlands,Bangladesh
Litton Das,9,11,17,0,0,81.81,Bangladesh vs Netherlands,Bangladesh
Shakib Al Hasan (c),7,9,14,0,0,77.77,Bangladesh vs Netherlands,Bangladesh
Afif Hossain,38,27,47,2,2,140.74,Bangladesh vs Netherlands,Bangladesh
Yasir Ali,3,5,9,0,0,60.00,Bangladesh vs Netherlands,Bangladesh
Nurul Hasan †,13,18,28,0,0,72.22,Bangladesh vs Netherlands,Bangladesh
Mosaddek Hossain,20,12,12,2,1,166.66,Bangladesh vs Netherlands,Bangladesh
Taskin Ahmed,0,1,3,0,0,0.00,Bangladesh vs Netherlands,Bangladesh
Hasan Mahmud,0,3,6,0,0,0.00,Bangladesh vs Netherlands,Bangladesh
Vikramjit Singh,0,1,4,0,0,0.00,Bangladesh vs Netherlands,Netherlands
Max O'Dowd,8,8,21,0,1,100.00,Bangladesh vs Netherlands,Netherlands
Bas de Leede,0,1,2,0,0,0.00,Bangladesh vs Netherlands,Netherlands
Colin Ackermann,62,48,77,6,2,129.16,Bangladesh vs Netherlands,Netherlands
Tom Cooper,0,0,2,0,0,-,Bangladesh vs Netherlands,Netherlands
Scott Edwards (c)†,16,24,33,1,0,66.66,Bangladesh vs Netherlands,Netherlands
Tim Pringle,1,6,5,0,0,16.66,Bangladesh vs Netherlands,Netherlands
Logan van Beek,2,5,9,0,0,40.00,Bangladesh vs Netherlands,Netherlands
Shariz Ahmad,9,8,9,1,0,112.50,Bangladesh vs Netherlands,Netherlands
Fred Klaassen,7,6,20,0,0,116.66,Bangladesh vs Netherlands,Netherlands
Paul van Meekeren,24,14,16,3,1,171.42,Bangladesh vs Netherlands,Netherlands
Regis Chakabva †,8,8,13,0,1,100.00,Zimbabwe vs South Africa,Zimbabwe
Craig Ervine (c),2,6,11,0,0,33.33,Zimbabwe vs South Africa,Zimbabwe
Sean Williams,1,1,10,0,0,100.00,Zimbabwe vs South Africa,Zimbabwe
Sikandar Raza,0,2,3,0,0,0.00,Zimbabwe vs South Africa,Zimbabwe
Wessly Madhevere,35,18,37,4,1,194.44,Zimbabwe vs South Africa,Zimbabwe
Milton Shumba,18,20,32,2,0,90.00,Zimbabwe vs South Africa,Zimbabwe
Quinton de Kock †,47,18,26,8,1,261.11,Zimbabwe vs South Africa,South Africa
Temba Bavuma (c),2,2,26,0,0,100.00,Zimbabwe vs South Africa,South Africa
Pathum Nissanka,40,45,65,2,0,88.88,Sri Lanka vs Australia,Sri Lanka
Kusal Mendis †,5,6,9,1,0,83.33,Sri Lanka vs Australia,Sri Lanka
Dhananjaya de Silva,26,23,47,3,0,113.04,Sri Lanka vs Australia,Sri Lanka
Charith Asalanka,38,25,45,3,2,152.00,Sri Lanka vs Australia,Sri Lanka
Bhanuka Rajapaksa,7,5,9,1,0,140.00,Sri Lanka vs Australia,Sri Lanka
Dasun Shanaka (c),3,5,6,0,0,60.00,Sri Lanka vs Australia,Sri Lanka
Wanindu Hasaranga de Silva,1,4,8,0,0,25.00,Sri Lanka vs Australia,Sri Lanka
Chamika Karunaratne,14,7,16,2,0,200.00,Sri Lanka vs Australia,Sri Lanka
David Warner,11,10,26,0,0,110.00,Sri Lanka vs Australia,Australia
Aaron Finch (c),31,42,89,0,1,73.80,Sri Lanka vs Australia,Australia
Mitchell Marsh,17,17,20,1,1,100.00,Sri Lanka vs Australia,Australia
Glenn Maxwell,23,12,21,2,2,191.66,Sri Lanka vs Australia,Australia
Marcus Stoinis,59,18,22,4,6,327.77,Sri Lanka vs Australia,Australia
Paul Stirling,14,8,16,1,1,175.00,Ireland vs England,Ireland
Andy Balbirnie (c),62,47,74,5,2,131.91,Ireland vs England,Ireland
Lorcan Tucker †,34,27,42,3,1,125.92,Ireland vs England,Ireland
Harry Tector,0,2,3,0,0,0.00,Ireland vs England,Ireland
Curtis Campher,18,11,22,3,0,163.63,Ireland vs England,Ireland
George Dockrell,0,1,2,0,0,0.00,Ireland vs England,Ireland
Gareth Delany,12,10,22,1,0,120.00,Ireland vs England,Ireland
Mark Adair,4,4,8,0,0,100.00,Ireland vs England,Ireland
Barry McCarthy,3,3,4,0,0,100.00,Ireland vs England,Ireland
Fionn Hand,1,2,4,0,0,50.00,Ireland vs England,Ireland
Josh Little,0,1,3,0,0,0.00,Ireland vs England,Ireland
Jos Buttler (c)†,0,2,3,0,0,0.00,Ireland vs England,England
Alex Hales,7,5,14,1,0,140.00,Ireland vs England,England
Dawid Malan,35,37,66,2,0,94.59,Ireland vs England,England
Ben Stokes,6,8,14,0,0,75.00,Ireland vs England,England
Harry Brook,18,21,30,1,0,85.71,Ireland vs England,England
Moeen Ali,24,12,18,3,1,200.00,Ireland vs England,England
Liam Livingstone,1,2,7,0,0,50.00,Ireland vs England,England
Temba Bavuma (c),2,6,6,0,0,33.33,South Africa vs Bangladesh,South Africa
