player,runs,balls,maiden,4s,6s,sr,match,team
Kane Williamson (c),46,42,81,1,1,109.52,New Zealand vs Pakistan,New Zealand
Glenn Phillips,6,8,9,1,0,75.00,New Zealand vs Pakistan,New Zealand
Daryl Mitchell,53,35,60,3,1,151.42,New Zealand vs Pakistan,New Zealand
James Neesham,16,12,19,1,0,133.33,New Zealand vs Pakistan,New Zealand
Mohammad Rizwan †,57,43,77,5,0,132.55,New Zealand vs Pakistan,Pakistan
Babar Azam (c),53,42,56,7,0,126.19,New Zealand vs Pakistan,Pakistan
Mohammad Haris,30,26,32,2,1,115.38,New Zealand vs Pakistan,Pakistan
Shan Masood,3,4,13,0,0,75.00,New Zealand vs Pakistan,Pakistan
Iftikhar Ahmed,0,0,3,0,0,-,New Zealand vs Pakistan,Pakistan
KL Rahul,5,5,8,1,0,100.00,India vs England,India
Rohit Sharma (c),27,28,37,4,0,96.42,India vs England,India
Virat Kohli,50,40,75,4,1,125.00,India vs England,India
Suryakumar Yadav,14,10,14,1,1,140.00,India vs England,India
Hardik Pandya,63,33,47,4,5,190.90,India vs England,India
Rishabh Pant †,6,4,13,1,0,150.00,India vs England,India
Ravichandran Ashwin,0,0,4,0,0,-,India vs England,India
Jos Buttler (c)†,80,49,74,9,3,163.26,India vs England,England
Alex Hales,86,47,74,4,7,182.97,India vs England,England
Mohammad Rizwan †,15,14,24,0,1,107.14,Pakistan vs England,Pakistan
Babar Azam (c),32,28,58,2,0,114.28,Pakistan vs England,Pakistan
Mohammad Haris,8,12,15,1,0,66.66,Pakistan vs England,Pakistan
Shan Masood,38,28,46,2,1,135.71,Pakistan vs England,Pakistan
Iftikhar Ahmed,0,6,8,0,0,0.00,Pakistan vs England,Pakistan
Shadab Khan,20,14,26,2,0,142.85,Pakistan vs England,Pakistan
Mohammad Nawaz,5,7,11,0,0,71.42,Pakistan vs England,Pakistan
Mohammad Wasim,4,8,12,0,0,50.00,Pakistan vs England,Pakistan
Shaheen Shah Afridi,5,3,8,1,0,166.66,Pakistan vs England,Pakistan
Haris Rauf,1,1,3,0,0,100.00,Pakistan vs England,Pakistan
Jos Buttler (c)†,26,17,33,3,1,152.94,Pakistan vs England,England
Alex Hales,1,2,6,0,0,50.00,Pakistan vs England,England
Phil Salt,10,9,16,2,0,111.11,Pakistan vs England,England
Ben Stokes,52,49,81,5,1,106.12,Pakistan vs England,England
Harry Brook,20,23,36,1,0,86.95,Pakistan vs England,England
Moeen Ali,19,13,30,3,0,146.15,Pakistan vs England,England
Liam Livingstone,1,1,3,0,0,100.00,Pakistan vs England,England
